Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Lithic industry,The Robberg industry is the earliest tecnological expression of the Later Stone Age. In the southern Cape of South Africa it dates to the end of the Late Pleistocene between 24 000 and 12 000 years ago. The industry is characterised by a few backed tools and scrapers. It has also been found further afield in the Free State Province of South Africa and Lesotho,Robberg Industry,,24000,has broader term (has narrower term),BP,,Primary name,,12000,y-240000,CHRN-00000224,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, The Mis5 Pietersburg at 28 Bushman Rock Shelter Limpopo Province South Africa,BP,,y-12000,26f121dc-cfd4-4799-aad3-48b024851295
Lithic industry,The Acheulean is a facies of the Lower Paleolithic and is characterised by bifaces and axes.,Acheulean (Senegal),,300,has broader term (has narrower term),ka BP,,Primary name,,75,y-300000,CHRN-00000228,"Senegal, Primary name",Lower Palaeolithic (Senegal),, Bakel Ville Frontière,ka BP,,y-75000,841de5c9-d8d9-47d9-9b47-0935478b1d11
Lithic industry,,Levallois (Senegal),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000230,"Senegal, Primary name",Middle Palaeolithic (Senegal),, Mapping the Villagescape: an Archaeological Approach to Political Ecology Along the Falemme River Ad 1000–1900,,,,d592ad00-fc12-4e0e-82fe-cca867351980
Lithic industry,"In Senegal, the Mousteroid is not very characteristic of the Mousterian of Europe. It is generally defined by a toolkit on flakes, points, scrapers, denticulates, notches, back knives, with rare presence of burins and the absence of typical scrapers with small bifaces. The Mousteroid is very visible in the Cape Verde Peninsula where a series of surface deposits have been identified from Bargny, Diokoul, Cap des biches and Ravin de Mbeth, Sébikotane.",Mousteroïd facies (Senegal),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000231,"Senegal, Primary name",Middle Palaeolithic (Senegal),, Mapping the Villagescape: an Archaeological Approach to Political Ecology Along the Falemme River Ad 1000–1900,,,,890d751c-1fea-4702-9df7-744626611d17
Lithic industry,"Characterised by small bifacial foliates and points, side and end-scrapers, blades and geometric microliths.",Tiemassassanian facies (Senegal),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000232,"Senegal, Primary name",Middle Palaeolithic (Senegal),, Mapping the Villagescape: an Archaeological Approach to Political Ecology Along the Falemme River Ad 1000–1900,,,,89ac7110-de97-4eb0-9db9-af1c21843ef7
Lithic industry,,Acheulean (Gambia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000236,"Gambia, Primary name",Early Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,,,,9c663e49-c76a-46a7-a267-447afd3052d1
Lithic industry,,Oldowan (Gambia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000237,"Gambia, Primary name",Early Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,,,,433a6ccf-0303-4f88-a9e9-0dd8be5ebd27
,,Ceramic Late Stone Age (Gambia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000240,"Gambia, Primary name",Late Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,,,,f9cb48a9-5d37-49b2-a0fe-00cb5fbf056f
,,Neolithic (Gambia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000241,"Gambia, Primary name",Late Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,,,,8127400b-8a72-4b4a-bfe3-1055a7735b6c
Lithic industry,,Acheulean (Mali),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000244,"Mali, Primary name",Early Stone Age (Mali),,,,,,8d25dfd2-d6d3-48a5-8ce4-a58a1c725b19
Lithic industry,,Oldowan (Mali),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000245,"Mali, Primary name",Early Stone Age (Mali),, Chronology of the Acheulean to Middle Stone Age Transition in Eastern Africa,,,,652a315c-ae75-4a46-b78a-506c0047fb66
Lithic industry,,Aterian (Mali),,150~,has broader term (has narrower term),ka BP,,Primary name,,20~,y-150000~,CHRN-00000247,"Mali, Primary name",Middle Stone Age (Mali),, The Khormusan: Evidence for an Msa East African Industry in Nubia,ka BP,,y-20000~,2cd23ed5-a447-41c2-904a-8affce165593
Lithic industry,"Its lithic industry consists of massive flakes, perhaps removed directly from local outcrops, and smaller flakes from prepared cores as well as formal tools. Geomorphological and archaeological evidence suggests an age of the Vallée du Serpent sites somewhere between 9000 and 6000 bp",Macrolithic (Mali),,9000,has broader term (has narrower term),BP,,Primary name,,6000,'-9000,CHRN-00000249,"Mali, Primary name",Pre-ceramic Late Stone Age (Mali),, The Archaeology of Ethiopia,BP,,'-6000,e60ed62c-d50d-4224-a89f-bc3742660792
Lithic industry,,Microlithic (Mali),,32000~,has broader term (has narrower term),BP,,Primary name,,10000~,y-32000~,CHRN-00000250,"Mali, Primary name",Pre-ceramic Late Stone Age (Mali),, The Development of Ancient States in the Northern Horn of Africa C. 3000 Bc–ad 1000: an Archaeological Outline,BP,,y-10000~,dbf01fa5-9d6e-4810-89be-8ec161565e90
Lithic industry,,Ounanian (Mali),,10000~,has broader term (has narrower term),BP,,Primary name,,8000~,y-10000~,CHRN-00000251,"Mali, Primary name",Pre-ceramic Late Stone Age (Mali),, The Development of Ancient States in the Northern Horn of Africa C. 3000 Bc–ad 1000: an Archaeological Outline,BP,,'-8000~,b448d190-8342-4092-a457-adf6c330f940
,,Early Neolithic (Central Sudan),,5000,has broader term (has narrower term),BCE,,Primary name,,4000,'-5000,CHRN-00000255,"Sudan, Primary name",Neolithic (Central Sudan),, Later Stone Age Toolstone Acquisition in the Central Rift Valley of Kenya: Portable Xrf of Eburran Obsidian Artifacts from Leakeys Excavations at Gambles Cave Ii,BCE,,'-4000,c00bf796-5a07-4240-9f78-e83db1114de1
,,Late Neolithic (Central Sudan),,4000,has broader term (has narrower term),BCE,,Primary name,,3000,'-4000,CHRN-00000256,"Sudan, Primary name",Neolithic (Central Sudan),, Later Stone Age Toolstone Acquisition in the Central Rift Valley of Kenya: Portable Xrf of Eburran Obsidian Artifacts from Leakeys Excavations at Gambles Cave Ii,BCE,,'-3000,fd575470-888f-4eea-bfb1-90ab2a6433f7
,,Early Neolithic (Upper Nubia),,6000,has broader term (has narrower term),BCE,,Primary name,,5500,'-6000,CHRN-00000258,"Sudan, Primary name",Neolithic (Upper Nubia),, Later Stone Age Toolstone Acquisition in the Central Rift Valley of Kenya: Portable Xrf of Eburran Obsidian Artifacts from Leakeys Excavations at Gambles Cave Ii,BCE,,'-5500,bdcdbd76-038e-422f-8da1-6415c5fd9114
,,Middle Neolithic (Upper Nubia),,5000,has broader term (has narrower term),BCE,,Primary name,,4000,'-5000,CHRN-00000259,"Sudan, Primary name",Neolithic (Upper Nubia),, Later Stone Age Toolstone Acquisition in the Central Rift Valley of Kenya: Portable Xrf of Eburran Obsidian Artifacts from Leakeys Excavations at Gambles Cave Ii,BCE,,'-4000,b10e5d42-eb43-4e4a-8df8-ab536e6dbcbc
,"Refers to archaeological sites in present day Sudan which date from 4900-3000 BCE, and are divisible into Early (4900-3800 BCE) and Late (3800-3000 BCE) periods. ",Khartoum Neolithic,,4900,has broader term (has narrower term),BCE,,Primary name,,3000,'-4900,CHRN-00000262,"Sudan, Primary name",Neolithic (Upper Nubia),, Kunta Kinteh Island and Related Sites,BCE,,'-3000,4c52786b-30a0-442c-acff-a8cd4925c113
Ceramic tradition,Sites found in central Kenya to northern Tanzania in areas above 1500m above sea level.,Highland Savanna Pastoral Neolithic,,3300,has broader term (has narrower term),BP,,Primary name,,1300,'-3300,CHRN-00000266,"Eastern Africa, Primary name",Savanna Pastoral Neolithic (SPN),, The Wavy Line and the Dotted Wavy Line Pottery in the Prehistory of the Central Nile and the Sahara-sahel Belt,BP,,1300,32d9f467-4386-471a-bc85-a6b113770e5f
Ceramic tradition,Open air sites in the savannas of northern Kenya below 1100m above sea level. Sites have Ileret and Nderit ceramic traditions. Refer to Nderit.,Lowland Savanna Pastoral Neolithic,,5200,has broader term (has narrower term),BP,,Primary name,,3300,'-5200,CHRN-00000271,"Eastern Africa, Primary name",Savanna Pastoral Neolithic (SPN),, The Wavy Line and the Dotted Wavy Line Pottery in the Prehistory of the Central Nile and the Sahara-sahel Belt,BP,,'-3300,fd2f9cc3-53bd-41f2-90e3-1965f5085f22
Lithic industry,A lithic industry characterised by many single-platform cores. It is contemporary to the Epipalaeolithic in West Asia.,Arkinian,,8400,has broader term (has narrower term),BCE,,Primary name,,7500,'-8400,CHRN-00000285,"Sudan, Primary name",Mesolithic (Upper Nubia),, Late Neolithic Cultural Landscape in Southeastern Mauritania: an Essay in Spatiometrics,BCE,,'-7500,1a635056-9ab8-4866-8957-55593661ec66
Material culture,"The general term used to refer to a common material culture contemporary to the European Mesolithic. The material culture within it is very similar to, but can be considered distinct from the Khartoum Mesolithic.",Khartoum Variant,,8000,has broader term (has narrower term),BCE,,Primary name,,5000,'-8000,CHRN-00000286,"Sudan, Primary name",Mesolithic (Upper Nubia),, A Reconsideration of the West African Macrolithic Conundrum: New Factory Sites and an Associated Settlement in the Vallée Du Serpent Mali,BCE,,'-5000,e215e6ba-546f-4adf-9197-7fd6e0370206
Material culture,"The general term used to refer to a common material culture contemporary to the European Mesolithic. This term is generally used in Upper Nubia. The material culture within it is very similar to, but can be considered distinct from, the Khartoum Variant.",Khartoum Mesolithic,,8000,has broader term (has narrower term),BCE,,Primary name,,5000,'-8000,CHRN-00000287,"Sudan, Primary name",Mesolithic (Upper Nubia),, The Neolithic and Pastoralism Along the Nile: a Dissenting View,BCE,,'-5000,df0b1771-c1e5-4f2a-8ff6-916036478f92
Lithic industry,"A lithic industry characterised as a continuation of the Arkinian, with the same single-platform cores and typical points. ",Shamarkian,,7500,has broader term (has narrower term),BCE,,Primary name,,6750,'-7500,CHRN-00000288,"Sudan, Primary name",Mesolithic (Upper Nubia),, Late Neolithic Cultural Landscape in Southeastern Mauritania: an Essay in Spatiometrics,BCE,,'-6750,e3e9b730-7e63-42c3-b155-49687b3c5a52
Ceramic tradition,Pottery with thickened rims and bevels or flutes on pots or bowls. Hatched or grooved bands on shoulder of pots or below shoulder on bowls. Occurs in south eastern Kenya and the highlands of north eastern Tanzania,Kwale,,1800,has broader term (has narrower term),BP,,Primary name,,1220,'-1800,CHRN-00000291,"Eastern Africa, Primary name",Early Iron Age (Eastern Africa),, The Introduction of Pastoral Adaptations to the Highlands of East Africa,BP,,1220,047372f5-23fe-4ab5-8c8e-5b97de52c526
Ceramic tradition,"Urewe pottery is named after the site type in Western Kenya. It was originally named dimple-based ware due to the thumb sized impression in the centers of the base. The pottery has thick beveled rims which are often incised or grooved, and the assemblage consists of necked pots and shallow hemispheric bowls with a dimpled base. This pottery is heavily decorated but the decorations do not cover the entire body. The basic motif is parallel grooved or incised bands around the shoulder and body, that often incorporates circles, loops and triangles. Hatching and dots are often found on or just below the rim. Urewe pottery is found in the Great Lakes Region, from Kivu in the west, to the eastern shores of Lake Victoria, from the Chobi area of Uganda and into Burundi. The pottery is almost always found in association with iron working and often without lithics.",Urewe,,2600,has broader term (has narrower term),BP,,Primary name,,1300,'-2600,CHRN-00000292,"Eastern Africa, Primary name",Early Iron Age (Eastern Africa),, The Neolithic of the Middle Nile Region: an Archeology of Central Sudan and Nubia,BP,,1300,cd3db002-17c6-42d2-b8c7-12e5e1eafa90
Ceramic tradition,Early Iron Age pottery of the Chifumbaze Complex from central Tanzania. This pottery is typologically intermediate between Urewe and Kwale wares. It has been found in the areas around Lake Eyasland and Sandaweland. ,Lelesu,,246,has broader term (has narrower term),CE,,Primary name,,338,246,CHRN-00000293,"Tanzania, Primary name",Early Iron Age (Eastern Africa),, Early Pottery and Pastoral Cultures of the Central Rift Valley Kenya,CE,,338,908dbb55-2299-4832-af15-c284a7b49ea3
Ceramic tradition,"The ceramic tradition consists of vessels which are clearly and intentionally asymmetrical, with bent rims that do not form a single horizontal plane. Variety of body shapes including simple bowls and vessels with reverse or 'S' curvature typifies the vessle type. (Cohen and Gramly 1972)",Deloraine farm,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000295,"Kenya, Primary name",Pastoral Iron Age (Eastern Africa),, Es Sites Néolithiques À Roches Volcaniques De Diack Et Du Cap Manuel Contextes Et Industries: Approche Comparative,,,,754dc99c-596f-4f24-b251-5a2351dc807a
